StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
WILUNA,94439,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.58 ,120.22 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6128,0,519,521
YEELIRRIE,94440,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.28 ,120.08 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6129,0,488,498
BULGA DOWNS,94444,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.48 ,119.73 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6130,0,440,438
LEONORA,94448,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.88 ,121.32 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6133,0,380,376
LAVERTON AERO,94449,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.60 ,122.42 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6134,0,464,464
LEONORA AERO,94450,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.87 ,121.32 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,13839,0,370,370
CARNEGIE,94451,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.78 ,122.97 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6135,0,449,452
WARBURTON AIRFIELD,94457,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.12 ,126.58 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11468,0,459,457
GILES METEOROLOGICAL OFFICE,94461,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.03 ,128.30 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6136,0,599,580
YULARA AERO,94462,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.18 ,130.97 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6137,0,492,495
CURTIN SPRINGS,94463,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.30 ,131.75 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6138,0,491,489
KULGERA,94466,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.83 ,133.30 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6139,0,510,508
PUKATJA,94474,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.25 ,132.17 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11469,0,703,706
OODNADATTA AIRPORT,94476,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.55 ,135.43 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6140,0,117,117
MARLA POLICE STATION,94477,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.30 ,133.62 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6141,0,324,323
MARREE COMPARISON,94480,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.63 ,138.05 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,13499,0,51,50
